"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"31","I have asked Steve Daines, our great Republican Senator from Montana, to attend his daughter Annie’s wedding rather… https://t.co/3cvHEGT5QS",FALSE,156038,NA,2018-10-06 20:06:01,TRUE,NA,"1048665701513187328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",27976,FALSE,FALSE,NA,NA
"32","Women for Kavanaugh, and many others who support this very good man, are gathering all over Capitol Hill in prepara… https://t.co/lrE7vMwl8k",FALSE,131940,NA,2018-10-06 16:08:57,TRUE,NA,"1048606042123395072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",29469,FALSE,FALSE,NA,NA
"33","Very proud of the U.S. Senate for voting “YES” to advance the nomination of Judge Brett Kavanaugh!",FALSE,199578,NA,2018-10-05 14:59:41,FALSE,NA,"1048226225196552193",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",40472,FALSE,FALSE,NA,NA
"34","Just out: 3.7% Unemployment is the lowest number since 1969!",FALSE,159258,NA,2018-10-05 13:06:08,FALSE,NA,"1048197648807854080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",37411,FALSE,FALSE,NA,NA
"35","The very rude elevator screamers are paid professionals only looking to make Senators look bad. Don’t fall for it!… https://t.co/2In7zzWHoS",FALSE,178638,NA,2018-10-05 13:03:06,TRUE,NA,"1048196883464818688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",53451,FALSE,FALSE,NA,NA
"36","Beautiful evening in Rochester, Minnesota. VOTE, VOTE, VOTE! https://t.co/SyxrxvTpZE",FALSE,70027,NA,2018-10-05 01:03:25,FALSE,NA,"1048015772214353921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15485,FALSE,FALSE,NA,NA
"37","Thank you Minnesota - I love you!
https://t.co/eQC2NqdIil",FALSE,82636,NA,2018-10-05 00:52:20,FALSE,NA,"1048012979357270017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17886,FALSE,FALSE,NA,NA
"38","Just made my second stop in Minnesota for a MAKE AMERICA GREAT AGAIN rally. We need to elect @KarinHousley to the U… https://t.co/rOGv3fAwzV",FALSE,60141,NA,2018-10-04 22:58:21,TRUE,NA,"1047984297607618565",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14315,FALSE,FALSE,NA,NA
"39","Congressman Bishop is doing a GREAT job! He helped pass tax reform which lowered taxes for EVERYONE! Nancy Pelosi i… https://t.co/g6kT6INueQ",FALSE,70737,NA,2018-10-04 22:17:48,TRUE,NA,"1047974091318149120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17123,FALSE,FALSE,NA,NA
"40","“U.S. Stocks Widen Global Lead” https://t.co/Snhv08ulcO",FALSE,52494,NA,2018-10-04 19:29:27,FALSE,NA,"1047931723302887424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12835,FALSE,FALSE,NA,NA
"41","Statement on National Strategy for Counterterrorism: https://t.co/ajFBg9Elsj https://t.co/Qr56ycjMAV",FALSE,39896,NA,2018-10-04 19:17:28,FALSE,NA,"1047928708172894208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10884,FALSE,FALSE,NA,NA
"42","Working hard, thank you! https://t.co/6HQVaEXH0I",FALSE,95425,NA,2018-10-04 17:38:08,FALSE,NA,"1047903710389534720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21861,FALSE,FALSE,NA,NA
